"Longitude","Latitude"
-88.181889,42.940612
-89.462926,41.910908
-81.324796,43.121718
-88.961003,43.003972
-81.752214,43.311467
-88.984117,42.505542
-95.369939,39.850828
-93.520491,44.4895
-75.719973,45.400767
-91.59738,43.999592
-89.388978,40.70537
-96.679167,43.494128
-72.537555,46.471544
-62.649077,45.555094
-90.379223,38.625682
-92.401847,44.04582
-91.807023,43.382198
-73.051971,45.150032
-83.425584,41.317327
-88.73943,43.185285
-96.793496,43.576081
-93.883549,41.71043
-72.198905,44.80965
-65.471347,45.709536
-81.675168,40.785516
-76.68892,39.417712
-75.035608,40.301715
-87.819779,41.941685
-95.893352,39.911271
-88.685928,41.977264
-76.457784,42.472917
-88.154796,41.817714
-93.941611,44.171652
-90.371784,38.405334
-92.591613,44.55164
-77.35167,39.32583
-75.278343,42.970222
-84.875449,40.800334
-73.14259,44.500098
-71.299438,46.836209
-88.268551,44.914455
-79.222257,43.937595
-80.103247,44.470322
-97.01516,42.24136
-75.468682,40.854217
-72.496028,44.287072
-80.300788,42.831694
-63.138112,46.256143
-75.824823,45.344146
-84.994713,44.439144
-96.639835,41.057422
-73.195531,45.138057
-72.662285,46.395784
-72.512437,46.320028
-89.702127,41.177419
-94.877609,43.415167
-95.451381,41.123678
-94.572813,41.497433
-64.770192,46.14189
-96.547273,44.558312
-93.740838,45.853105
-70.833491,46.881376
-94.739964,41.249542
-97.233244,46.888734
-94.823615,43.84762
-92.456217,42.406419
-85.877007,41.996673
-64.986229,45.602513
-95.695418,45.644562
-74.18293,45.301721
-88.7834,40.641422
-82.578758,39.956372
-80.576912,43.179874
-64.91,46.81
-73.067284,44.826801
-73.597209,45.442528
-88.117092,42.466192
-93.816151,45.16785
-89.480942,43.119911
-73.838826,45.475298
-81.550258,42.553583
-75.626884,40.445513
-93.751372,41.770149
-94.008351,41.332438
-91.306619,43.846958
-90.690772,42.579291
-96.389985,42.469809
-84.767264,39.589419
-93.120591,41.656082
-75.469931,45.455359
-90.734703,41.311603
-90.667406,42.077537
-88.438342,43.01787
-88.382527,41.919737
-88.653075,43.572008
-90.63565,42.46143
-96.196259,42.734607
-88.06265,41.882206
-75.254112,40.68424
-92.101148,44.397792
-100.938605,47.129514
-79.8652,43.358923
-80.429337,43.273229
-88.481151,42.302487
-98.215916,44.292086
-77.927254,42.093224
-93.279182,44.012777
-73.27417,44.390655
-88.175168,40.09332
-79.150472,41.870944
-90.382427,42.32057
-96.079161,43.171739
-73.49497,44.887269
-93.13343,44.476078
-92.972023,44.974156
-94.325114,41.730474
-68.652947,44.903358
-76.643333,40.443333
-91.292938,46.622547
-80.346931,41.000607
-88.015617,43.066708
-84.290664,40.414759
-93.004049,44.739028
-64.622296,45.08738
-97.716203,44.169572
-80.814979,44.233027
-98.299228,45.698229
-96.430924,45.182246
-96.550963,45.835728
-89.03136,40.638498
-100.774303,46.816338
-98.163201,45.514563
-94.575058,45.617155
-87.873994,41.155993
-89.402907,42.45306
-91.852887,43.931485
-87.789698,42.148967
-73.485838,45.346413
-76.57408,42.512914
-72.254179,43.784827
-78.987012,44.212445
-88.049779,41.736498
-79.30579,42.913782
-89.006918,41.723174
-65.832169,45.533043
-88.01091,41.375143
-89.751914,44.362931
-76.424879,42.816173
-93.68443,45.004278
-86.72479,41.192951
-89.323294,42.360155
-96.329897,42.64628
-98.323442,43.412954
-74.478724,41.33142
-88.711455,42.077922
-71.990241,45.269134
-73.423155,45.432728
-73.441551,45.536035
-91.964413,44.152101
-93.117258,44.612552
-82.214408,42.414895
-81.271712,43.039336
-94.35669,45.474315
-72.781692,45.140965
-89.166238,43.151137
-82.662353,40.837833
-89.649559,41.827712
-73.934932,45.405371
-75.377159,40.744657
-82.876186,39.977522
-81.065828,43.135955
-78.99243,39.67396
-75.241562,45.443289
-81.534671,42.64368
-73.293731,44.770675
-72.117164,43.974669
-97.688263,46.447583
-89.362884,43.318655
-96.350656,42.004395
-87.774955,44.287483
-95.771385,42.983891
-88.733867,41.624902
-80.39845,43.64939
-72.697273,45.407287
-96.164315,43.074931
-71.217887,46.916025
-96.594959,43.575068
-95.339653,39.745037
-88.096849,41.298961
-70.969648,45.781816
-71.01153,44.236239
-81.208453,43.386377
-83.984466,40.482098
-66.821151,45.966699
-91.394473,43.339576
-71.164444,46.662018
-79.297753,43.675634
